entity_id,wikidata_id,name,description,types,aliases
0,Q100,Boston,"capital and largest city of Massachusetts, United States",Q1093829|Q1549591,"Bean Town, Beantown, Boston (MA), Boston MA, United States, Boston, MA, Boston, Mass, Boston, Mass., Boston, Massachusetts, Boston, Massachusetts, United States, Boston, Massachusetts, United States of America, Boston, Massachusetts, US, Boston, United States, Boston, USA, Bostonia, Capital of Massachusetts, City of Boston, Puritan City, The Athens of America, The Cradle of Liberty, The Cradle of Modern America, The Hub, The hub of the universe, The Hub of the Universe, The Walking City"
1,Q1000,Gabon,country on the Atlantic coast of Central Africa,Q6256|Q3624078,"ga, GAB, Gabonese Republic, Republique Gabonaise, République Gabonaise"
2,Q100005,Tadeusz Borowski,Polish writer and journalist (1922-1951),Q5,
3,Q1000051,Joseph C. O'Mahoney,"American journalist, lawyer, and politician (1884-1962)",Q5,"J. Christopher O'Mahoney, Joseph Christopher O'Mahoney, Joseph O'Mahoney"
4,Q100028,Jörg Hube,German actor and director (1943–2009),Q5,
5,Q1001,Mahatma Gandhi,Indian independence activist (1869–1948),Q5,"Gandhi, Bapu, Bapuji, Father of the Nation, Gandhiji, M K Gandhi, M. K. Gandhi, Mahatma Mohandas Karamchand Gandhi, MK Gandhi, Mohandas Gandhi, Mohandas K Gandhi, Mohandas K. Gandhi, Mohandas Karamchand Gandhi"
6,Q100122,Kurt Kreuger,actor (1916–2006),Q5,
7,Q1001250,Buddy Moreno,American musician and radio personality (1912-2015),Q5,
8,Q1001254,Buddy Knox,American singer and songwriter (1933–1999),Q5,Buddy Wayne Knox
9,Q100276,Max Conrat,German legal historian (1848-1911),Q5,"M. Conrat, Max Cohn, Max Joseph Adolf Conrat, Max Joseph Adolph Conrat"
10,Q1003730,Bulgarian Academy of Sciences,academy of sciences,Q3914|Q43229|Q414147|Q1966910|Q45400320,"BAS, Balgarska Akademiya na Naukite, BASS, Bulgarian Academy of Sciences，簡稱：BAS, БЪЛГАРСКА АКАДЕМИЯ НА НАУКИТЕ"
11,Q100400,Tamara Ehlert,German writer (1921–2008),Q5,
12,Q100440,Larry Hagman,American actor (1931–2012),Q5,Larry Martin Hagman
13,Q1004670,Géza Féja,"Hungarian writer, sociographist, librarian, journalist (1900-1978)",Q5,Geza Feja
14,Q1005,The Gambia,sovereign state in West Africa,Q6256|Q3624078,"Gambia, GAM, GM, Islamic Republic of the Gambia, Republic of the Gambia"
15,Q100511,Willibald Sauerländer,German art historian (1924-2018),Q5,
16,Q100529,Rudolf Lenz,German romanist and linguist (1863–1938),Q5,"Rodolfo Lenz, Rudolf Lenz Danziger"
17,Q1006,Guinea,sovereign state in West Africa,Q6256|Q3624078,"gn, GUI, Guinea-Conakry, Republic of Guinea"
18,Q1006152,Luciano De Crescenzo,Italian writer and engineer (1928–2019),Q5,
19,Q1007,Guinea-Bissau,sovereign state in Western Africa,Q6256|Q3624078,"GBS, gw, Republic of Guinea-Bissau"
20,Q100718,Nathanael Chytraeus,German historian and theologian (1543-1599),Q5,
21,Q10076267,slave owner,person who owns slaves,Q187588,"slaveholder, enslaver, slave driver, slave holder, slave master, slave-owner, slaveowner"
22,Q100765,Eberhard Gothein,German politician and economist (1853-1923),Q5,
23,Q1008,Ivory Coast,sovereign state in West Africa,Q6256|Q7270|Q3624078,"Côte d'Ivoire, ci, CIV, Cote d'Ivoire, Cote d'lvoire, Côte d’Ivoire, Cote Ivoire, Cote-d'Ivoire, Côte-d'Ivoire, Republic of Cote d'Ivoire, Republic of Côte d'Ivoire, Republic of Ivory Coast, Republic of the Ivory Coast, The Ivory Coast"
24,Q1009,Cameroon,sovereign state in West-Central Africa,Q6256|Q7270|Q3624078,Republic of Cameroon
25,Q100913,Lin Jaldati,Dutch-German singer and actor (1912-1988),Q5,
26,Q100937,Fred Astaire,"American dancer, actor, and singer (1899–1987)",Q5,Frederick Austerlitz
27,Q1009499,Bunk Gardner,American musician,Q5,
28,Q1010602,Giorgio Gaber,Italian singer-songwriter and actor (1939-2003),Q5,"Giorgio Gaberscik, Giorgio Gaberščik, Giorgio GaberščIkea"
29,Q101064,Erhard Kroeger,SS leader (1905-1987),Q5,
30,Q101087,Claus Kleber,German journalist,Q5,Claus-Detlev Walter Kleber
31,Q1011,Cape Verde,sovereign state comprising ten islands off the Western coast of Africa,Q6256|Q112099|Q3624078|Q11815167,"Cabo Verde, Cape Verde Islands, Republic of Cabo Verde, Republic of Cape Verde"
32,Q101170,Michael Hofmann,German-born poet and translator,Q5,
33,Q101235,Anton Sterbling,German sociologist and pedagogue,Q5,
34,Q1012900,Wanda Gág,American artist and children's writer (1893-1946),Q5,"Wanda Gag, Wanda Gäg, Wanda Hazel Gag, Wanda Hazel Gág"
35,Q1013,Lesotho,sovereign state in southern Africa,Q6256|Q123480|Q171441|Q417175|Q3624078,"ls, Kingdom of Lesotho, LES, The Mountain Kingdom"
