relation_id,wikidata_id,name,description,domain_types,range_types
0,P101,field of work,,,
1,P102,member of political party,,,
2,P1050,medical condition,,,
3,P1056,product or material produced,,,
4,P106,occupation,,,
5,P108,employer,,,
6,P112,founded by,,,
7,P113,airline hub,,,
8,P119,place of burial,,,
9,P1303,instrument,,,
10,P131,P131,,,
11,P135,P135,,,
12,P136,P136,,,
13,P138,P138,,,
14,P140,P140,,,
15,P1412,P1412,,,
16,P159,P159,,,
17,P161,P161,,,
18,P17,P17,,,
19,P172,P172,,,
20,P19,P19,,,
21,P20,P20,,,
22,P2283,P2283,,,
23,P2348,P2348,,,
24,P26,P26,,,
25,P264,P264,,,
26,P27,P27,,,
27,P30,P30,,,
28,P3095,P3095,,,
29,P3373,P3373,,,
30,P361,P361,,,
31,P37,P37,,,
32,P40,P40,,,
33,P407,P407,,,
34,P451,P451,,,
35,P452,P452,,,
36,P463,P463,,,
37,P495,P495,,,
38,P50,P50,,,
39,P509,P509,,,
40,P530,P530,,,
41,P54,P54,,,
42,P551,P551,,,
43,P57,P57,,,
44,P641,P641,,,
45,P69,P69,,,
46,P737,P737,,,
47,P740,P740,,,
48,P749,P749,,,
49,P780,P780,,,
50,P840,P840,,,
